time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/value_loss,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
703,169984,83,1.1063999999999998,241,272.4,1.405053016031161,0.2,0.03999084234237671,820,-0.01517652530747,0.304110050201416,0.193603515625,-1.6798432003706694,0.0003,0.017726403,,
,170000,,,,,2.253055196302012,0.2,-0.0685807466506958,830,-0.014351491827983408,0.689446210861206,0.187060546875,-1.7454378202557563,0.0003,0.018641151,2.652,266.8
715,172032,84,0.8059999999999996,240,272.33,,,,,,,,,,,,
723,174080,85,0.07870000000000016,240,259.54,1.4721743573434651,0.2,0.04998278617858887,840,-0.010594298197247554,0.25534576177597046,0.191796875,-1.6078118614852428,0.0003,0.018862996,,
731,176128,86,0.5895000000000001,240,260.67,1.5148847558535636,0.2,0.18203216791152954,850,-0.018423928678384983,0.23314493894577026,0.21494140625,-1.7493082713335752,0.0003,0.026230766,,
739,178176,87,0.36680000000000007,240,258.38,1.8055766072124242,0.2,0.43248414993286133,860,-0.008869815495563671,0.15892380475997925,0.179296875,-1.610936014726758,0.0003,0.019460328,,
,180000,,,,,1.6298644058872014,0.2,0.5126971006393433,870,-0.017154791060602293,0.12786631286144257,0.228857421875,-1.7949860896915197,0.0003,0.025036624,5.15,317.2
752,180224,88,1.0211000000000001,239,263.87,,,,,,,,,,,,
760,182272,89,1.024,239,264.18,2.5141952050849796,0.2,0.09672760963439941,880,-0.01010198881413089,0.2166425883769989,0.144677734375,-1.7295579571276902,0.0003,0.013431402,,
767,184320,90,1.0192999999999999,240,263.71,1.9981965046841652,0.2,-0.010185599327087402,890,-0.013522094101062976,0.279387503862381,0.1947265625,-1.6517702955752611,0.0003,0.021664893,,
775,186368,91,1.469,240,268.72,1.3789027446415276,0.2,0.39855003356933594,900,-0.010899408219847828,0.16077524423599243,0.20634765625,-1.6990096889436246,0.0003,0.019171372,,
783,188416,92,1.3276,240,264.57,1.1092098045162857,0.2,0.44019007682800293,910,-0.013214836668339558,0.0729556679725647,0.18779296875,-1.7467977102845906,0.0003,0.016517274,,
