rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
201.79600000000002,582,1409024,2418,1252.1,688,6870,0.008660844,-0.1613616363145411,0.2,0.04169921875,-0.00243974725890439,0.23571574687957764,14.650000071525573,0.0003,5.733381748199463,,
,,1410000,,,,6880,0.005927922,-0.15694162326399236,0.2,0.05205078125,-0.0003820198180619627,0.4169817566871643,6.867317291349172,0.0003,4.033539295196533,2142.0,155.76
203.6,581,1411072,2427,1263.63,689,,,,,,,,,,,,
204.54800000000003,581,1413120,2430,1242.1,690,6890,0.0025972875,-0.1305194858694449,0.2,0.018115234375,-0.0009967600606614723,0.2393009066581726,21.26374274790287,0.0003,9.267126083374023,,
201.99799999999996,581,1415168,2433,1221.35,691,6900,0.013794981,-0.1268117886618711,0.2,0.030615234375,-0.003352159533824306,0.12450200319290161,16.815893825888633,0.0003,3.8536267280578613,,
201.99799999999996,581,1417216,2436,1221.35,692,6910,0.0024481541,-0.11189691075123846,0.2,0.02412109375,-0.002968120315927081,0.22774094343185425,34.00949794948101,0.0003,17.877809524536133,,
206.97899999999993,581,1419264,2439,1244.28,693,6920,0.0028671683,-0.12187032557558268,0.2,0.039013671875,-0.0017851346143288537,0.37728726863861084,12.952578549087047,0.0003,4.476393699645996,,
,,1420000,,,,6930,0.0026010398,-0.12420643088407815,0.2,0.021240234375,-0.0008999322773888708,0.31024062633514404,16.842313538491727,0.0003,6.9344072341918945,2555.0,203.35999999999999
204.074,580,1421312,2450,1238.21,694,,,,,,,,,,,,
206.53199999999998,580,1423360,2453,1243.77,695,6940,0.0025078123,-0.09585824896348641,0.2,0.028955078125,-0.003286532117635943,0.3152696490287781,21.567211294174193,0.0003,7.439373970031738,,
208.68600000000004,580,1425408,2456,1247.24,696,6950,0.0030360536,-0.10683739669620991,0.2,0.02939453125,-0.0018967298019560985,0.3840538263320923,16.82082193493843,0.0003,7.8199462890625,,
